,DistCode,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude,%alc,category,review_point,price,description,name
0,0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,58.0,Single Malt Scotch,94,181.0,"Single cask Aberfeldy bottlings are very few and far between, and this is a stunner! After hogshead maturation the whisky ultimately underwent a period of finishing in an ex-sherry cask prior to bottling. The nose offers sultanas, raisins, and hot chocolate. Developing vanilla and a hint of over-ripe bananas. Finally, burnt sugar and caramel. Insinuating and syrupy on the palate, with apricots, dried fruits, honey, and sherry. Gently spicy and warming, with licorice in the notably long finish. £115","Aberfeldy 14 year old Single Cask, 58.1%"
1,0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,57.0,Single Malt Scotch,92,250.0,"From a sherry cask. Bright and lively. Quite fruity, with notes of golden raisin, pineapple, nectarine, and tangerine. The fruit is balanced by honeyed malt and light caramel. A dusting of vanilla, cinnamon, and hint of cocoa, with black licorice on the finish. Lush and mouth-coating. The best of the Aberfeldy whiskies I’ve tasted to date. (New Hampshire only)","Aberfeldy Single Cask (Cask No. 5) 16 year old, 57.4%"
2,0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,40.0,Single Malt Scotch,88,170.0,"Similar in flavor to the Aberfeldy 12 reviewed below, but with more depth. There’s more orange rind in the marmalade notes, along with Clementine and coconut. The whisky finishes drier too, with a spicy flair. Still quite clean and nicely balanced throughout. A whisky for those of you who want a fun whisky that’s not heavy on the palate. 
","Aberfeldy, 21 year old, 40%"
3,0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,40.0,Single Malt Scotch,87,110.0,"A prime component in Dewar’s blended scotch. The finer bottles of Aberfeldy are quite flavorful, yet still maintain a degree of elegance and finesse. This bottling is an excellent example of this. Its dominant flavor note is fruit (orange, honeydew melon), with some creamy vanilla notes, caramel, and light toffee. Subtle spice notes and a hint of peat tease the palate. The extra aging adds depth to the whisky, yet this whisky remains quite clean and fresh on the palate. Subtly spicy, gently dry finish. Nicely done! (Exclusive to Binny’s Beverage Depot, Chicago, IL.) 
","Cask & Thistle (distilled at Aberfeldy), 29 year old, 1974 Vintage"
4,0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,47.0,Single Malt Scotch,87,105.0,"Independent releases of the Perthshire single malt Aberfeldy are relatively rare, and the first batch of That Boutique-y Whisky Company’s no age statement Aberfeldy runs to 155 numbered bottles. The nose features coconut ice, vanilla, malt, candied peel, and ginger. Good mouthfeel, with more malt, ginger-nut biscuits, icing sugar, and milk chocolate. The finish is drying, with oak and black pepper. £65/500 ml","That Boutique-y Whisky Company (distilled at Aberfeldy) Batch 1, 47%"
5,0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,55.0,Single Malt Scotch,87,95.0,"This expression from Aberfeldy was distilled in April 1995 and bottled in January 2014 after maturation in refill, remade sherry hogsheads (casks #2,488, 2,489, and 2,491). The nose is floral, with ginger and developing milk chocolate. Progressively sweeter, with slight sherry and vanilla notes. The palate is silky and sweet, with banoffee pie, peaches, and spicy oak. The finish is long, with cocoa powder and more spiced oak. £60","Gordon & MacPhail Cask Strength 1995 (distilled at Aberfeldy), 55.8%"
6,0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,40.0,Single Malt Scotch,86,130.0,"This expression of Aberfeldy fits between the core 12 and 21 year old bottlings, but is exclusively available in Travel Retail outlets. The nose opens with a slightly savory note, rich and spicy, with sherry, Jaffa oranges, and sweet oak. The palate is smooth and rounded, with malt, nutty spice, honey, and milky coffee. The finish is lengthy, with Seville oranges, plain chocolate, dark sherry notes, and licorice. (Travel Retail only) Price is per liter.","Aberfeldy 18 year old, 40%"
7,0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,46.0,Single Malt Scotch,86,129.0,"The first batch of single cask releases from Wemyss Malts in 2015 includes this 1999 bottling from Aberfeldy. The hogshead yielded 379 bottles. The nose opens with overripe bananas, followed by peaches, gingerbread, treacle, subtle smokiness, and vanilla custard. The whisky really earns its sobriquet with a waxy mouthfeel and a little more smoke, ripe eating apples, and ginger on the palate. The spicy finish dries slowly to plain chocolate and aniseed. £88","Wemyss Malts Snuffed Candle (distilled at Aberfeldy) 1999, 46%"
8,0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,46.0,Single Malt Scotch,85,143.0,"This 20 year old single cask release from the Perthshire distillery of Aberfeldy runs to 242 bottles, matured in a hogshead. Apricots, green apples, ginger, and icing sugar on the nose. Soft fruits, notably peaches, gingery oak, and more icing sugar on the palate. Milky coffee, caramel, and eucalyptus in the slightly oaky, medium-length finish. £90","Wemyss Malts Melon Vine 1994 (distilled at Aberfeldy), 46%"
9,0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580,749680,46.0,Single Malt Scotch,85,129.0,"Following on from another 1999 single cask Aberfeldy in the previous batch of Wemyss Malts’ releases, we have Toffee Tuile, matured in a hogshead. The nose is sweet and approachable, with tinned fruit cocktail, vanilla, malt, and fresh ginger. Tropical fruit, brittle toffee, hazelnuts, a hint of caramel, and more ginger on the nose. The finish is medium in length, fruity, and mildly spicy. (393 bottles) £88","Wemyss Malts Toffee Tuile (distilled at Aberfeldy) 1999, 46%"
